time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,train/loss,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/learning_rate,train/clip_fraction,train/std,train/explained_variance,train/clip_range,train/value_loss,train/approx_kl
106496,1001.0,-172541.29576639005,1097,97,104,3151344.0,-0.0009651566448155791,1030,-7.1180708587169645,0.0003,0.0,1.0043967962265015,1.1920928955078125e-07,0.2,5577765.05625,0.0002841194
107520,1001.0,-171947.24093049002,1107,97,105,1300256.25,-0.0075394075771328065,1040,-7.116629707813263,0.0003,0.0390625,1.0047937631607056,0.0,0.2,2448969.30625,0.006507843
108544,1001.0,-172042.20856479005,1117,97,106,1635248.375,-0.0027647208742564546,1050,-7.11749130487442,0.0003,0.008984375,1.004601240158081,-1.1920928955078125e-07,0.2,3645213.56875,0.0046462705
109568,1001.0,-171706.08558841,1128,97,107,2953415.5,-0.004600869392743334,1060,-7.114899915456772,0.0003,0.0140625,1.003745675086975,-2.384185791015625e-07,0.2,5686209.53125,0.005460091
110592,1001.0,-171388.22853534002,1138,97,108,3381810.5,-0.0016397511295508592,1070,-7.110571873188019,0.0003,0.0,1.0029017925262451,-1.1920928955078125e-07,0.2,6043099.94375,0.00141913
111616,1001.0,-170386.22586038001,1149,97,109,1833948.75,-0.002797909147921018,1080,-7.101163113117218,0.0003,0.00302734375,0.9997444152832031,0.0,0.2,3710854.75625,0.0036617457
112640,1001.0,-170155.25437253003,1160,97,110,1687183.75,-0.004452713986393064,1090,-7.094506645202637,0.0003,0.0177734375,1.0006916522979736,-1.1920928955078125e-07,0.2,3368876.915625,0.005477142
113664,1001.0,-169664.38218782004,1174,96,111,1249624.5,-0.004063909876276739,1100,-7.097691690921783,0.0003,0.0091796875,1.0008940696716309,-2.384185791015625e-07,0.2,2604277.7125,0.0040055765
114688,1001.0,-169725.34451283998,1186,96,112,3052885.0,-0.0023584696784382684,1110,-7.099719351530075,0.0003,0.00029296875,1.0014867782592773,-4.76837158203125e-07,0.2,6479268.725,0.0014001329
115712,1001.0,-169271.42024736002,1197,96,113,2130912.25,-0.0013359777280129493,1120,-7.098539215326309,0.0003,0.0,1.0001782178878784,0.0,0.2,4380990.175,0.0009936071
116736,1001.0,-169346.25635459996,1209,96,114,2472517.5,-0.0028759317006915807,1130,-7.092537993192673,0.0003,0.0015625,0.9993604421615601,-1.1920928955078125e-07,0.2,5115313.04375,0.0031716542
117760,1001.0,-168784.43352536001,1220,96,115,3423633.25,-0.002360914013115689,1140,-7.091852623224258,0.0003,0.00078125,0.9999858736991882,-2.86102294921875e-06,0.2,6783310.925,0.0022837254
118784,1001.0,-168365.90222306,1231,96,116,5008162.5,-0.0030463297676760702,1150,-7.094222491979599,0.0003,0.00078125,1.0000759363174438,-2.6226043701171875e-06,0.2,9558283.38125,0.002519063
119808,1001.0,-168176.40487518001,1241,96,117,4633913.0,-0.0039018727431539444,1160,-7.090028965473175,0.0003,0.001171875,0.9981942176818848,-1.1920928955078125e-07,0.2,8715074.8,0.0031338306
120832,1001.0,-168150.41959411997,1252,96,118,6178632.5,-0.0015000657498603688,1170,-7.083930736780166,0.0003,0.0,0.9980095028877258,-0.0004366636276245117,0.2,13775408.7625,0.00080577336
121856,1001.0,-168201.56230219002,1263,96,119,5300027.0,-0.006030101474607363,1180,-7.0864923894405365,0.0003,0.01142578125,0.9990216493606567,-1.1920928955078125e-07,0.2,10312055.9375,0.0049853115
122880,1001.0,-168088.24128902997,1273,96,120,5699690.5,-0.0020102867973037066,1190,-7.089332801103592,0.0003,9.765625e-05,0.9991113543510437,1.7881393432617188e-07,0.2,10445202.0375,0.0013750137
123904,1001.0,-167548.64492514002,1284,96,121,4481804.5,-0.007266451955365483,1200,-7.086458057165146,0.0003,0.0150390625,0.9978843927383423,-2.8967857360839844e-05,0.2,9945063.68125,0.005620216
124928,1001.0,-167461.60316891,1295,96,122,3169056.5,-0.0039660788956098255,1210,-7.088144826889038,0.0003,0.0052734375,1.000127911567688,0.0,0.2,6217919.2625,0.0036372037
125952,1001.0,-166981.97537463,1306,96,123,3438049.25,-0.002947779308306053,1220,-7.097584533691406,0.0003,0.00302734375,1.0010958909988403,1.1920928955078125e-07,0.2,6368511.2625,0.0032722072
